State_ID,Config_ID,Workload,RP,norm_rew
62,20,1,2427.07,0.3472336436774338
63,20,2,3765.5,0.53965513275405
64,21,0,1578.59,0.2252505851299362
65,21,1,2601.82,0.3723568516271501
66,21,2,4113.17,0.5896384558320347
67,22,0,1318.51,0.1878597758391655
68,22,1,1649.99,0.2355155181634683
69,22,2,2826.14,0.4046065684070089
70,23,0,1237.74,0.1762477500531936
71,23,1,1595.68,0.2277075557958055
72,23,2,2589.22,0.3705453928565267
73,24,0,1189.1,0.1692549441323112
74,24,1,1691.04,0.2414171358249038
75,24,2,3192.16,0.4572280080279252
76,25,0,811.36,0.114948560321577
77,25,1,1457.58,0.2078533926034975
78,25,2,2961.52,0.4240696865313728
79,26,0,2055.37,0.2937956099440461
80,26,1,2460.62,0.3520570120706411
81,26,2,3640.15,0.52163399331773
82,27,0,1914.8,0.2735863433260683
83,27,1,2178.07,0.3114357679722588
84,27,2,3822.95,0.5479145221486776
85,28,0,1080.64,0.153662022048041
86,28,1,1436.17,0.2047753503591289
87,28,2,2550.54,0.3649845019638513
88,29,0,752.64,0.106506587384196
89,29,1,3334.41,0.4776788024819861
90,29,2,4476.28,0.6418415347368784
91,30,0,1564.0,0.2231530308868097
92,30,1,1664.55,0.2376087594095219
93,30,2,3533.3,0.5062725354097061
94,31,0,1702.13,0.2430115070761905
95,31,1,1506.22,0.2148461985243799
96,31,2,2826.85,0.4047086426710679
97,32,0,1856.1,0.2651472457200692
98,32,1,2263.16,0.32366886533673
99,32,2,4141.1,0.5936538561069163
100,33,0,1572.43,0.2243649830642982
101,33,1,1758.01,0.2510451829573358
102,33,2,3576.55,0.5124904395231551
103,34,0,1043.36,0.1483024043521016
104,34,1,1628.94,0.2324892318839746
105,34,2,3269.53,0.468351227478967
106,35,0,460.47,0.0645023088910997
107,35,1,889.71,0.1262126710103339
108,35,2,2926.14,0.4189832253167178
109,36,0,1510.99,0.215531965058973
110,36,1,1493.08,0.2129571058064442
111,36,2,1486.2,0.2119679918110562
112,37,0,895.34,0.1270220767943505
113,37,1,874.68,0.1240518594768047
114,37,2,907.72,0.1288019069197725
115,38,0,2319.9,0.3318261804672989
116,38,1,2301.62,0.3291981275842041
117,38,2,2331.88,0.333548503965082
118,39,0,1716.69,0.2451047483222442
119,39,1,1700.6,0.242791544225472
120,39,2,1727.59,0.2466718039254024
121,40,0,1507.07,0.2149684001081124
